10	opo0501a	NGC 1300	A poster-size of barred spiral galaxy NGC 1300	Prototypical Barred Spiral	A poster-size image of the beautiful barred spiral galaxy NGC 1300
15	heic0910s	NGC 6217	Barred spiral galaxy NGC 6217	Barred Spiral Galaxy	Barred spiral galaxy NGC 6217
17	heic0905a	NGC 7049	Dramatically backlit dust lanes in NGC 7049	Backlit Dust-Lane Galaxy	Dramatically backlit dust lanes in NGC 7049
19	heic0706a	NGC 1672	Stellar nursery in the arms of NGC 1672	Spiral-Arm Stellar Nursery	Stellar nursery in the arms of NGC 1672
41	heic1712a	NGC 1510 / NGC 1512	NGC 1512 and NGC 1510	Interacting Spiral and Dwarf	NGC 1512 and NGC 1510
55	potw1442a	NGC 4526	The whirling disc of NGC 4526	Whirling Lenticular Galaxy	The whirling disc of NGC 4526
58	heic2313a	UGC 8091	Dwarf irregular galaxy UGC 8091	Dwarf Irregular Galaxy	Dwarf irregular galaxy UGC 8091
85	heic1403a	M 83	of barred spiral galaxy Messier 83	Southern Pinwheel Galaxy	Hubble view of barred spiral galaxy Messier 83
88	heic0711a	NGC 4449	Stellar fireworks are ablaze in galaxy NGC 4449	Stellar Fireworks Galaxy	Stellar fireworks are ablaze in galaxy NGC 4449
97	potw1348a	NGC 660	A bizarre cosmic rarity NGC 660	Polar Ring Galaxy	A bizarre cosmic rarity: NGC 660
100	heic0804a	NGC 1132	The gargantuan galaxy NGC 1132	Fossil Group Giant	The gargantuan galaxy NGC 1132
141	heic2502a	NGC 346	Stellar sculptors in NGC 346	Stellar Sculptors	Stellar sculptors in NGC 346
144	potw2511a	SMC 13	SMC 13	Colourful Clouds	Colourful clouds of a nearby neighbour
148	opo2506	LEDA 1313424	Galaxy LEDA 1313424	Bullseye	Galaxy LEDA 1313424
163	heic2414a	NGC 2207 / IC 2163	Galaxies IC 2163 and NGC 2207	Interacting Spiral Pair	Galaxies IC 2163 and NGC 2207 (Webb and Hubble image)
169	heic2411a	REP: M 87	REP: M 87	Black Hole Jet and Nova	Black hole jet and accompanying erupting nova (artist's concept)
170	potw2439a	IC 1954	The new and improved IC 1954	Asymmetric Spiral Galaxy	The new and improved IC 1954
172	opo2422a	MCG -03-34-064	MCG -03-34-064	Dual Active Nuclei	Black hole pair embedded in middle of active galaxy MCG-03-34-064
193	heic2407a	UGC 12158	Asteroid photobombs snapshot of Galaxy UGC 12158	Asteroid-Photobombed Galaxy	Asteroid photobombs Hubble snapshot of Galaxy UGC 12158
194	potw2416a	NGC 3783	The eponymous NGC 3783	Active Spiral Galaxy	The eponymous NGC 3783
201	opo2404a	AM 1054-325	AM 1054-325	String-of-Pearls Galaxy	Hubble traces 'string-of-pearls' star clusters in galaxy collisions
205	potw2401a	J020941.1+001557	HerS J020941.1+001557	So Near, So Far	So near, or so far?
209	potw2348a	Abell 3192	Abell 3192	One Cluster or Two	One cluster or two?
212	heic2310a	MACS J0416.1-2403	MACS J0416.1-2403	Christmas Tree Galaxy Cluster	Galaxy cluster MACS0416 (Hubble and Webb composite image)
216	potw2342a	IC 5332	IC 5332	Weakly Barred Spiral	‘S’ is for ‘Spiral’, ‘AB’ is for … ‘Weakly Barred’
